fiber_fraction,Ef_Em,width_to_thickness_ratio,length_value,theta,length_distribution_type,sim,random_seed,box_x,box_z,E1_Em,E2_Em,E3_Em,G12_Em,G13_Em,G23_Em,v12,v13,v23,L_band
0.1,4.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.14493,1.14451,1.23666,0.42975,0.43592,0.43621,0.33264,0.29745,0.29782,short
0.1,12.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.23616,1.23493,1.61339,0.45818,0.47522,0.4763,0.35007,0.24641,0.24763,short
0.1,20.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.26561,1.26401,1.83084,0.46617,0.48854,0.4901,0.35872,0.22273,0.22438,short
0.1,28.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.28061,1.27881,1.97422,0.46999,0.49564,0.49751,0.36372,0.2093,0.2112,short
0.1,32.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.28569,1.28381,2.02919,0.47125,0.49812,0.5001,0.3655,0.20455,0.20654,short
0.1,40.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.29317,1.29118,2.11711,0.47307,0.50186,0.50403,0.36821,0.19737,0.1995,short
0.1,48.0,1.0,50.0,0,constant,sim001_10,3,250,250,1.29844,1.29637,2.1844,0.47433,0.50457,0.50687,0.37017,0.1922,0.19444,short
0.15,4.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.22258,1.22379,1.35957,0.45947,0.46856,0.46916,0.33148,0.28548,0.28533,short
0.15,12.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.3658,1.36918,1.95587,0.50665,0.53293,0.53429,0.35039,0.22279,0.22219,short
0.15,20.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.4114,1.41569,2.31476,0.52039,0.55559,0.55708,0.35915,0.1955,0.19464,short
0.15,28.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.43438,1.43915,2.55784,0.52706,0.56788,0.56938,0.36407,0.18046,0.17943,short
0.15,32.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.44212,1.44705,2.65249,0.52927,0.57221,0.57369,0.3658,0.1752,0.17412,short
0.15,40.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.45348,1.45865,2.80558,0.53248,0.57879,0.58023,0.3684,0.16733,0.16617,short
0.15,48.0,1.0,50.0,0,constant,sim001_15,3,250,250,1.46145,1.46679,2.92423,0.53471,0.58359,0.58498,0.37027,0.16171,0.16048,short
0.2,4.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.30859,1.30779,1.48519,0.49198,0.50468,0.5046,0.32892,0.27554,0.27578,short
0.2,12.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.51863,1.51649,2.3202,0.56281,0.60052,0.60047,0.34674,0.20491,0.2056,short
0.2,20.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.58661,1.58398,2.84355,0.58438,0.63526,0.63536,0.35458,0.17526,0.17612,short
0.2,28.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.62099,1.61811,3.20761,0.59503,0.65428,0.6545,0.35889,0.15915,0.16011,short
0.2,32.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.63258,1.62963,3.35155,0.59859,0.66101,0.66128,0.36038,0.15357,0.15455,short
0.2,40.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.64963,1.64657,3.587,0.60379,0.67126,0.67161,0.36261,0.14525,0.14627,short
0.2,48.0,1.0,50.0,0,constant,sim001_20,3,250,250,1.6616,1.65847,3.77178,0.60743,0.67874,0.67916,0.36418,0.13933,0.14037,short
0.25,4.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.3972,1.39726,1.61259,0.52655,0.54188,0.54212,0.32547,0.2674,0.2675,short
0.25,12.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.68048,1.68066,2.6989,0.62541,0.67272,0.67345,0.3406,0.19236,0.19262,short
0.25,20.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.77382,1.77406,3.4012,0.65681,0.7217,0.72266,0.3469,0.16171,0.16202,short
0.25,28.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.82128,1.82157,3.90003,0.67257,0.74887,0.74995,0.35029,0.14524,0.14556,short
0.25,32.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.83733,1.83763,4.09967,0.67788,0.75854,0.75966,0.35145,0.13956,0.13988,short
0.25,40.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.86097,1.8613,4.42925,0.68568,0.77333,0.77453,0.35316,0.1311,0.13143,short
0.25,48.0,1.0,50.0,0,constant,sim001_25,3,250,250,1.87761,1.87796,4.69058,0.69117,0.78421,0.78544,0.35437,0.1251,0.12543,short
0.3,4.0,1.0,50.0,0,constant,sim001_30,3,250,250,1.49414,1.49237,1.74376,0.56574,0.58325,0.58272,0.32168,0.26041,0.26068,short
0.3,12.0,1.0,50.0,0,constant,sim001_30,3,250,250,1.86739,1.86185,3.09916,0.70131,0.75811,0.75644,0.33401,0.18233,0.1831,short
0.3,20.0,1.0,50.0,0,constant,sim001_30,3,250,250,1.99355,1.98633,3.99961,0.74634,0.82566,0.82349,0.33881,0.15091,0.15191,short
0.3,28.0,1.0,50.0,0,constant,sim001_30,3,250,250,2.05821,2.05007,4.65111,0.76931,0.86345,0.86104,0.34131,0.1341,0.13523,short
0.3,32.0,1.0,50.0,0,constant,sim001_30,3,250,250,2.08015,2.07168,4.91468,0.77709,0.87695,0.87447,0.34216,0.12831,0.12948,short
0.3,40.0,1.0,50.0,0,constant,sim001_30,3,250,250,2.11252,2.10358,5.35341,0.78858,0.89766,0.89507,0.34339,0.11972,0.12095,short
0.3,48.0,1.0,50.0,0,constant,sim001_30,3,250,250,2.13535,2.12607,5.70451,0.79669,0.91289,0.91025,0.34423,0.11363,0.1149,short
0.1,4.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.1379,1.13794,1.21677,0.42715,0.43362,0.43366,0.33098,0.30134,0.3013,short
0.1,12.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.22579,1.22589,1.5566,0.45474,0.47349,0.47349,0.34566,0.25533,0.25518,short
0.1,20.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.25476,1.25488,1.75587,0.46268,0.48761,0.48755,0.35346,0.23293,0.23272,short
0.1,28.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.26987,1.27,1.88973,0.46656,0.49531,0.4952,0.35815,0.21982,0.21957,short
0.1,32.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.27508,1.2752,1.94175,0.46786,0.49803,0.4979,0.35987,0.21509,0.21483,short
0.1,40.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.28288,1.283,2.02595,0.46976,0.50217,0.50201,0.36252,0.20784,0.20757,short
0.1,48.0,1.0,50.0,10,constant,sim002_10,3,250,250,1.28848,1.2886,2.09138,0.47111,0.50521,0.50501,0.36448,0.20251,0.20223,short
0.15,4.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.21064,1.21139,1.3283,0.45555,0.46482,0.46503,0.32999,0.29035,0.29018,short
0.15,12.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.34762,1.3495,1.85861,0.5015,0.52938,0.52989,0.34621,0.23323,0.23276,short
0.15,20.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.39232,1.39457,2.17932,0.51524,0.55291,0.55351,0.35419,0.20714,0.20657,short
0.15,28.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.41541,1.41782,2.39913,0.52207,0.56589,0.56652,0.35885,0.1923,0.19169,short
0.15,32.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.42333,1.42579,2.48557,0.52437,0.5705,0.57114,0.36052,0.18702,0.1864,short
0.15,40.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.43516,1.43768,2.62668,0.52777,0.57757,0.57821,0.36309,0.17899,0.17836,short
0.15,48.0,1.0,50.0,10,constant,sim002_15,3,250,250,1.44365,1.44619,2.73744,0.53018,0.58276,0.5834,0.36497,0.17313,0.17251,short
0.2,4.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.28338,1.28313,1.43953,0.48263,0.49526,0.49513,0.32917,0.28055,0.28054,short
0.2,12.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.47167,1.47096,2.16963,0.54616,0.58427,0.58385,0.34635,0.21552,0.21551,short
0.2,20.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.533,1.53213,2.62271,0.56559,0.61722,0.61664,0.35411,0.18734,0.18731,short
0.2,28.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.56454,1.5636,2.93847,0.57533,0.63553,0.63486,0.35848,0.17167,0.17163,short
0.2,32.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.57533,1.57438,3.06384,0.57863,0.64207,0.64136,0.36003,0.16616,0.16611,short
0.2,40.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.59142,1.59044,3.27003,0.58352,0.65211,0.65134,0.36236,0.15782,0.15776,short
0.2,48.0,1.0,50.0,10,constant,sim002_20,3,250,250,1.60295,1.60195,3.43321,0.587,0.65952,0.65871,0.36406,0.15179,0.15171,short
0.25,4.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.37423,1.37422,1.56208,0.51898,0.53379,0.53384,0.32463,0.27302,0.27305,short
0.25,12.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.64163,1.64164,2.52964,0.61417,0.66195,0.66175,0.33801,0.20326,0.20329,short
0.25,20.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.73131,1.73132,3.15241,0.64505,0.71157,0.71105,0.34386,0.17363,0.17365,short
0.25,28.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.77782,1.77784,3.59714,0.66087,0.73962,0.73882,0.34711,0.1573,0.1573,short
0.25,32.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.7938,1.79381,3.77622,0.66627,0.74972,0.74879,0.34825,0.15157,0.15156,short
0.25,40.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.81766,1.81768,4.07385,0.67431,0.76529,0.76415,0.34997,0.14293,0.14291,short
0.25,48.0,1.0,50.0,10,constant,sim002_25,3,250,250,1.83479,1.83481,4.31214,0.68008,0.77685,0.77554,0.35119,0.13669,0.13666,short
0.3,4.0,1.0,50.0,10,constant,sim002_30,3,250,250,1.46294,1.46321,1.68157,0.55345,0.57074,0.57118,0.32053,0.26656,0.2667,short
0.3,12.0,1.0,50.0,10,constant,sim002_30,3,250,250,1.81018,1.81112,2.88713,0.67902,0.73652,0.73782,0.33049,0.1938,0.19419,short
0.3,20.0,1.0,50.0,10,constant,sim002_30,3,250,250,1.92897,1.93026,3.68438,0.72111,0.80222,0.80378,0.33458,0.16343,0.16389,short
0.3,28.0,1.0,50.0,10,constant,sim002_30,3,250,250,1.99093,1.99243,4.26403,0.74289,0.83966,0.84127,0.33679,0.1468,0.14729,short
0.3,32.0,1.0,50.0,10,constant,sim002_30,3,250,250,2.01224,2.01383,4.49985,0.75037,0.85318,0.85479,0.33756,0.14098,0.14148,short
0.3,40.0,1.0,50.0,10,constant,sim002_30,3,250,250,2.04412,2.04584,4.89487,0.76153,0.8741,0.87565,0.33869,0.13223,0.13274,short
0.3,48.0,1.0,50.0,10,constant,sim002_30,3,250,250,2.06701,2.06883,5.21387,0.76953,0.88965,0.89115,0.33949,0.12592,0.12643,short
0.1,4.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.13784,1.13788,1.22034,0.42726,0.43318,0.43352,0.33171,0.3002,0.30038,short
0.1,12.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.22564,1.22561,1.57115,0.45485,0.4716,0.47278,0.34765,0.25211,0.25274,short
0.1,20.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.25448,1.2544,1.77758,0.46272,0.48486,0.48651,0.35596,0.22893,0.22976,short
0.1,28.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.26941,1.2693,1.91604,0.46653,0.492,0.49395,0.3609,0.21547,0.21642,short
0.1,32.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.27452,1.27441,1.96974,0.4678,0.4945,0.49656,0.36269,0.21065,0.21164,short
0.1,40.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.28213,1.28201,2.05642,0.46965,0.4983,0.50054,0.36544,0.20329,0.20433,short
0.1,48.0,1.0,50.0,20,constant,sim003_10,3,250,250,1.28754,1.28744,2.12354,0.47095,0.50105,0.50343,0.36745,0.19793,0.199,short
0.15,4.0,1.0,50.0,20,constant,sim003_15,3,250,250,1.21155,1.2118,1.33428,0.45516,0.46447,0.46423,0.33073,0.28899,0.2888,short
0.15,12.0,1.0,50.0,20,constant,sim003_15,3,250,250,1.34926,1.34991,1.88411,0.50021,0.52745,0.5266,0.34832,0.22964,0.22907,short
0.15,20.0,1.0,50.0,20,constant,sim003_15,3,250,250,1.39382,1.39465,2.21794,0.51348,0.54997,0.54878,0.35682,0.20289,0.20213,short
0.15,28.0,1.0,50.0,20,constant,sim003_15,3,250,250,1.4166,1.41752,2.44628,0.52,0.56227,0.56086,0.3617,0.18785,0.18699,short
0.15,32.0,1.0,50.0,20,constant,sim003_15,3,250,250,1.42435,1.42531,2.53582,0.52218,0.56662,0.56513,0.36343,0.18254,0.18164,short
