set,sim,fiber_fraction,box_x,box_y,box_z,fiber_clearance,random_seed,length_type,length_const,length_min,length_scale,length_mean,width_to_thickness,thickness,incl_type,incl_kappa,azim_kappa,deviation_magnitude,twistrate,orientation_dependency,case,fiber_modulus,matrix_modulus,E1,E2,E3,G12,G13,G23,v12,v13,v23
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,0,4.0,1.0,1.14787,1.14295,1.1684,0.43254,0.43811,0.43623,0.32383,0.31554,0.31556
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,1,12.0,1.0,1.25436,1.23888,1.32928,0.47001,0.48868,0.48223,0.32399,0.30185,0.30097
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,2,20.0,1.0,1.29332,1.27257,1.39887,0.48317,0.50897,0.49993,0.3242,0.29561,0.2942
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,3,28.0,1.0,1.31458,1.29067,1.4393,0.49024,0.52045,0.50976,0.32434,0.29201,0.29027
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,4,32.0,1.0,1.32205,1.29699,1.45391,0.49271,0.52456,0.51325,0.32439,0.29072,0.28885
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,5,40.0,1.0,1.33334,1.30653,1.47639,0.49644,0.53084,0.51856,0.32447,0.28874,0.28668
Set5_new,sim001_10,0.1,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,6,48.0,1.0,1.34153,1.31342,1.49296,0.49914,0.53544,0.52243,0.32452,0.28729,0.28508
Set5_new,sim001_20,0.2,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,0,4.0,1.0,1.30813,1.30367,1.35481,0.49651,0.50587,0.50655,0.31694,0.30202,0.30356
Set5_new,sim001_20,0.2,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,1,12.0,1.0,1.5398,1.52679,1.72311,0.58542,0.61759,0.62145,0.31554,0.27675,0.28129
Set5_new,sim001_20,0.2,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,2,20.0,1.0,1.62513,1.60813,1.89118,0.61855,0.66375,0.66999,0.31498,0.26541,0.27148
Set5_new,sim001_20,0.2,250,250,250,2,3,constant,50.0,,,50.0,2,10,mises-fisher,10,0.2,0.35,0.0,0.4,3,28.0,1.0,1.67176,1.65244,1.99159,0.63679,0.6903,0.69822,0.31465,0.25892,0.26592
