target,factor,df,SS_pct,F,p,err_df
E1_Em,Vf,4,75.7822309724595,251361.432231811,0.0,2374
E1_Em,EfEm,6,19.797081909164092,43776.51417613892,0.0,2374
E1_Em,alpha,2,0.15962456910624997,1058.9147296155534,0.0,2374
E1_Em,L,2,0.011266154293403404,74.73722118219497,3.333507198843521e-32,2374
E1_Em,kt,3,0.0426912938238182,188.80318198925917,8.481334643356928e-110,2374
E1_Em,dist,1,2.8985006259806256e-05,0.3845604750992699,0.5352321152780747,2374
E3_Em,Vf,4,33.10296343392448,12971.739023958515,0.0,2374
E3_Em,EfEm,6,39.904937662518776,10424.775376153464,0.0,2374
E3_Em,alpha,2,1.2741771202523853,998.5989989811287,2.00835263e-315,2374
E3_Em,L,2,10.028854143852103,7859.820702944934,0.0,2374
E3_Em,kt,3,0.5896269300347068,308.0685579978322,6.515822043932712e-169,2374
E3_Em,dist,1,0.022033587172751987,34.536357222166004,4.771774087793384e-09,2374
G12_Em,Vf,4,80.04862001986075,212836.8393982389,0.0,2374
G12_Em,EfEm,6,15.276373899471743,27078.33595317963,0.0,2374
G12_Em,alpha,2,0.11676529634234714,620.9215503961949,1.2613629419035484e-217,2374
G12_Em,L,2,0.056344965817198424,299.625013836814,9.330371712760702e-117,2374
G12_Em,kt,3,0.07134869755834396,252.9401302979961,2.0075368443358713e-142,2374
G12_Em,dist,1,0.015453362854026821,164.35236020854205,1.9880793551110248e-36,2374
G13_Em,Vf,4,69.29854415254115,116454.79799987577,0.0,2374
G13_Em,EfEm,6,23.412553994060463,26229.54810361641,0.0,2374
G13_Em,alpha,2,0.2535339281209663,852.1172485370162,1.1617536410501058e-279,2374
G13_Em,L,2,0.617116851218765,2074.104705368918,0.0,2374
G13_Em,kt,3,0.26686445703739253,597.9470770069362,1.8537412376948634e-289,2374
G13_Em,dist,1,0.02273020131985912,152.7905693010803,4.639882035481712e-34,2374
v12,Vf,4,11.015578040005442,1922.3323580815486,0.0,2374
v12,EfEm,6,53.966180017386606,6278.437906312836,0.0,2374
v12,alpha,2,1.4079330875300053,491.39778636096946,2.647033290669542e-179,2374
v12,L,2,15.389282376047122,5371.178048340505,0.0,2374
v12,kt,3,5.474163221420992,1273.7308389676725,0.0,2374
v12,dist,1,0.7733889285309624,539.8574844816234,8.936686887300401e-108,2374
v13,Vf,4,15.18415269785711,17540.6884647735,0.0,2374
v13,EfEm,6,68.87779354376761,53044.949460706244,0.0,2374
v13,alpha,2,1.0229095709416318,2363.324245817742,0.0,2374
v13,L,2,9.88431640023691,22836.66637365618,0.0,2374
v13,kt,3,1.3074317252534928,2013.7883698416135,0.0,2374
v13,dist,1,0.14616772479296342,675.4101003106887,2.966543832339852e-131,2374
