# Hand-curated experimental points for the plug-in validation table.
# content_type: vol = content_pct is vol-%; wt = wt-% (converted with rho_m, rho_f)
# L_um, D_um: fibre length and diameter (post-processing where reported); the
# surrogate length feature is matched through the aspect ratio (L_eq = 10*L/D).
source,system,Em_GPa,Ef_GPa,content_type,content_pct,rho_m,rho_f,L_um,D_um,E_meas_GPa,notes
Verho 2022,BSKP pulp/PLA (IM),3.2,15.0,vol,8.1,1,1,115,18.34,3.7,"+-0.2"
Verho 2022,BSKP pulp/PLA (IM),3.2,15.0,vol,16.6,1,1,115,18.34,4.4,"+-0.2"
Verho 2022,BSKP pulp/PLA (IM),3.2,15.0,vol,25.5,1,1,115,18.34,5.2,"+-0.2"
Lusti 2002 (SCORIM),glass/PP (IM),1.57,72.5,vol,8.0,1,1,427,12,5.99,"+-0.31; <cos2t>=0.967"
Lusti 2002 (conv.),glass/PP (IM),1.57,72.5,vol,8.0,1,1,448,12,5.09,"+-0.25; <cos2t>=0.872"
Choy via Chen 1996,glass/PPS (IM),4.0,76.0,vol,26.4,1,1,170,10,16.1,"ultrasonic; middle layer (skin 19.2)"
Ivan 2022,glass/PPS (IM),4.0,76.0,wt,40,1.35,2.55,229,10,16.41,"constituents and length assumed typical"
# excluded (orientation outside the aligned scope): Mortazavian 2015,glass/PBT (IM),3.0,72.4,vol,19.0,1,1,253,9.81,8.5,"chart value; flow direction"
# excluded (orientation outside the aligned scope): Lafranche 2013,flax/PP (IM),1.5,50.0,vol,22.0,1,1,642,51,3.95,"chart value; Ef assumed by authors"
# excluded (orientation outside the aligned scope): Aliotta 2022,cellulose/PBS (IM),0.7,23.4,vol,27.0,1,1,60,20,1.7,"chart value; random ultra-short fibres"
