Vf,EfEm,target,factor,S1,ST
0.1,12.0,E1_Em,alpha,0.2565147662271632,0.5310394490528777
0.1,12.0,E1_Em,logL,0.26464273265306615,0.44478448568649565
0.1,12.0,E1_Em,tdeg,0.09553245677309827,0.4532287610889204
0.1,12.0,E2_Em,alpha,0.31079532223430917,0.5936502077760065
0.1,12.0,E2_Em,logL,0.0662337677720063,0.22013665365829166
0.1,12.0,E2_Em,tdeg,0.27810211914732985,0.6109369761862051
0.1,12.0,E3_Em,alpha,0.06840314521742463,0.09094422468147172
0.1,12.0,E3_Em,logL,0.7842564299625154,0.8115721999179252
0.1,12.0,E3_Em,tdeg,0.11057024183169731,0.13781506109261188
0.1,12.0,G12_Em,alpha,0.36069662769747696,0.5835251977399243
0.1,12.0,G12_Em,logL,0.2993887179914972,0.47849355710260055
0.1,12.0,G12_Em,tdeg,0.06278818493272989,0.2539828612393176
0.1,12.0,G13_Em,alpha,0.3240311922176769,0.4575587343993376
0.1,12.0,G13_Em,logL,0.12113595998900757,0.22124967559519754
0.1,12.0,G13_Em,tdeg,0.3581621011636102,0.544424839342259
0.1,12.0,G23_Em,alpha,0.38954063703841846,0.641424663530807
0.1,12.0,G23_Em,logL,0.009883861301528366,0.16452350385705464
0.1,12.0,G23_Em,tdeg,0.2554287842022721,0.5869044444809519
0.1,12.0,v12,alpha,0.004734184010738203,0.04109110745651781
0.1,12.0,v12,logL,0.6812369910598548,0.74172124586583
0.1,12.0,v12,tdeg,0.24193471155209031,0.2998617689404707
0.1,12.0,v13,alpha,0.06279716772655332,0.0876189340469534
0.1,12.0,v13,logL,0.7018279422114256,0.7326874729159111
0.1,12.0,v13,tdeg,0.19620825251664398,0.22239742771911242
0.1,12.0,v23,alpha,0.06119496599648787,0.08475571111971435
0.1,12.0,v23,logL,0.7394063635666803,0.7685528371677216
0.1,12.0,v23,tdeg,0.16172100796446146,0.1880356691867538
0.2,28.0,E1_Em,alpha,0.4853220072580724,0.6969945779432953
0.2,28.0,E1_Em,logL,0.20275775177255367,0.31199846997318276
0.2,28.0,E1_Em,tdeg,0.05029826003106279,0.2931958671283851
0.2,28.0,E2_Em,alpha,0.4295285327026903,0.6515942293000558
0.2,28.0,E2_Em,logL,0.10555539466179269,0.2781165982713889
0.2,28.0,E2_Em,tdeg,0.20399902814916224,0.36753176936577325
0.2,28.0,E3_Em,alpha,0.08522758058951996,0.09529165074504756
0.2,28.0,E3_Em,logL,0.8435394206369381,0.8637006659345428
0.2,28.0,E3_Em,tdeg,0.047052040343075606,0.06953102208561578
0.2,28.0,G12_Em,alpha,0.2070361255896522,0.51928910489063
