dist,target,factor,S1_gp,S1_poly,ST_gp,ST_poly
constant,E1_Em,Vf,0.8223231560486398,0.8128144338941291,0.8447196686691368,0.8367757069919065
constant,E1_Em,EfEm,0.15364011431155078,0.16154311228827872,0.1748990881453985,0.18452442170216574
constant,E1_Em,alpha,0.0010241328152114806,0.0009222942347623432,0.001661825787148282,0.001328674466395882
constant,E1_Em,logL,0.0007188144793010867,0.0005814543610581227,0.0011993996951656575,0.000849272431860885
constant,E1_Em,tdeg,0.00032258935447109025,0.00018388520958711704,0.0005584348021910634,0.00030168419680068684
constant,E2_Em,Vf,0.8198370217322848,0.8113229142175378,0.8417048864220207,0.8347908616074416
constant,E2_Em,EfEm,0.15624034118235547,0.16380191201603345,0.17770313133461305,0.18663490282860035
constant,E2_Em,alpha,0.0006075377167451045,0.0006432551138122578,0.0012564075330612529,0.0009593401025106837
constant,E2_Em,logL,0.000352138484357327,0.00033122773777058976,0.001075072219199014,0.0007330013560253769
constant,E2_Em,tdeg,0.00038778971480378434,0.00021786445027539527,0.000808428557971465,0.0003721869384699992
constant,E3_Em,Vf,0.35575709807686107,0.3531983776446031,0.42489488545651816,0.4223976965502237
constant,E3_Em,EfEm,0.40305188982445045,0.40988873880291216,0.5012516706303402,0.5075762515893979
constant,E3_Em,alpha,0.014919811682231415,0.014368583051158236,0.02391673779223006,0.02297363279970634
constant,E3_Em,logL,0.10841210908439704,0.10551255456959231,0.15777460632166823,0.15441199320230167
constant,E3_Em,tdeg,0.004845618879961075,0.004866815932372276,0.008169858041237738,0.007980183686776861
constant,G12_Em,Vf,0.8599582769425682,0.8517328777473012,0.8824364420995092,0.8763516604241477
constant,G12_Em,EfEm,0.11512281192783365,0.12172624902829493,0.13666408212090222,0.14530879736767321
constant,G12_Em,alpha,0.0007806524942176558,0.0005420969033344815,0.0013043401828427155,0.0009864634588783946
constant,G12_Em,logL,0.0004896329576664788,0.0002704560992370778,0.0010987147450909965,0.000594075600218061
constant,G12_Em,tdeg,0.0010475235274492172,0.0008697970793782576,0.0020293346242459356,0.0014937375157119646
constant,G13_Em,Vf,0.7570024774857749,0.7462559579409257,0.7916874487017297,0.782608222911947
constant,G13_Em,EfEm,0.192982508817177,0.20148953414462595,0.22745503937215622,0.2376438783608011
constant,G13_Em,alpha,0.0023621827099744924,0.0020774604002620463,0.0035446863106946176,0.002968849757378558
constant,G13_Em,logL,0.0058773484121316414,0.006216328292521592,0.009796925697928865,0.009790061682193062
constant,G13_Em,tdeg,0.004354279422693128,0.004383623321381778,0.007303292744798846,0.0066396051760692016
constant,G23_Em,Vf,0.7504117556976638,0.7420692911396798,0.7858409227272072,0.7788992800125407
constant,G23_Em,EfEm,0.19806326869970436,0.2054468371967522,0.23261551149897425,0.24154190834832198
constant,G23_Em,alpha,0.0016671050045341384,0.0016048037014761627,0.0025427097631998026,0.0020018929248863224
constant,G23_Em,logL,0.005554612614632762,0.005587667782512497,0.01106364609513215,0.01048236596596996
constant,G23_Em,tdeg,0.004702616470766249,0.005103531079929772,0.007911524788950205,0.007472081800438486
constant,v12,Vf,0.10928190747854358,0.11350998071008894,0.14815858097036516,0.146732231377341
constant,v12,EfEm,0.5252400661899074,0.5404269618475424,0.5534060737146997,0.5722593252692715
constant,v12,alpha,0.006363202633914792,0.006844454661734931,0.03412254163404702,0.029102584647540678
constant,v12,logL,0.21315026975192136,0.19701414317290047,0.25127541461979314,0.2305070159919859
constant,v12,tdeg,0.07330592773494972,0.07646804110570883,0.08979409315091398,0.08817095033098245
constant,v13,Vf,0.18353555031517269,0.18038101537306825,0.1873901789625643,0.18426966557940233
constant,v13,EfEm,0.63953416093603,0.651305966762399,0.6552957756268862,0.6670861077063602
constant,v13,alpha,0.014634220820569258,0.01379508506293943,0.019573925383312554,0.01801882323542893
constant,v13,logL,0.12587553434399834,0.11966190511100087,0.13974094194463388,0.1327148095690838
constant,v13,tdeg,0.01588686872299825,0.015421762550493016,0.01787831424626218,0.017066400871215123
constant,v23,Vf,0.18681612128286204,0.18234532082025912,0.1909218978981274,0.1863553511196414
constant,v23,EfEm,0.6372582962152084,0.6505832593951268,0.6532782648969169,0.6663909338489792
